# set	bench	threads	binary	round	wall_ns
serial	append/append.jl	1	vanilla	6	1598319173
serial	append/append.jl	1	regions	6	1622483199
serial	linked/tree.jl	1	vanilla	6	8425133455
serial	linked/tree.jl	1	regions	6	8620708444
serial	strings/strings.jl	1	vanilla	6	18244776505
serial	strings/strings.jl	1	regions	6	18361499523
serial	bigint/pollard.jl	1	vanilla	6	644464851
serial	bigint/pollard.jl	1	regions	6	656445177
serial	big_arrays/single_ref.jl	1	vanilla	6	410598368
serial	big_arrays/single_ref.jl	1	regions	6	395197958
serial	big_arrays/many_refs.jl	1	vanilla	6	1978968918
serial	big_arrays/many_refs.jl	1	regions	6	1810116723
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	6	1600628250
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	6	1594352538
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	6	798681790
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	6	798324997
multithreaded	big_arrays/issue-52937.jl	4	vanilla	6	9858924762
multithreaded	big_arrays/issue-52937.jl	4	regions	6	9865957903
serial	append/append.jl	1	vanilla	7	1615170019
serial	append/append.jl	1	regions	7	1626663557
serial	linked/tree.jl	1	vanilla	7	8453966862
serial	linked/tree.jl	1	regions	7	8765355997
serial	strings/strings.jl	1	vanilla	7	18218672307
serial	strings/strings.jl	1	regions	7	18455772012
serial	bigint/pollard.jl	1	vanilla	7	653517753
serial	bigint/pollard.jl	1	regions	7	652741528
serial	big_arrays/single_ref.jl	1	vanilla	7	398367357
serial	big_arrays/single_ref.jl	1	regions	7	394666465
serial	big_arrays/many_refs.jl	1	vanilla	7	1974520204
serial	big_arrays/many_refs.jl	1	regions	7	1810037644
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	7	1606420950
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	7	1599860271
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	7	769387714
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	7	790452792
multithreaded	big_arrays/issue-52937.jl	4	vanilla	7	9879053704
multithreaded	big_arrays/issue-52937.jl	4	regions	7	9837818025
serial	append/append.jl	1	vanilla	8	1609144429
serial	append/append.jl	1	regions	8	1632544073
serial	linked/tree.jl	1	vanilla	8	8417644464
serial	linked/tree.jl	1	regions	8	8922609497
serial	strings/strings.jl	1	vanilla	8	18796337289
serial	strings/strings.jl	1	regions	8	18504033144
serial	bigint/pollard.jl	1	vanilla	8	650884775
serial	bigint/pollard.jl	1	regions	8	665300096
serial	big_arrays/single_ref.jl	1	vanilla	8	422271914
serial	big_arrays/single_ref.jl	1	regions	8	397178344
serial	big_arrays/many_refs.jl	1	vanilla	8	1975840676
serial	big_arrays/many_refs.jl	1	regions	8	1824376931
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	8	1612521611
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	8	1598483232
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	8	786407749
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	8	809882264
multithreaded	big_arrays/issue-52937.jl	4	vanilla	8	9847204768
multithreaded	big_arrays/issue-52937.jl	4	regions	8	9818780422
serial	append/append.jl	1	vanilla	9	1606896798
serial	append/append.jl	1	regions	9	1617546724
serial	linked/tree.jl	1	vanilla	9	8654645772
serial	linked/tree.jl	1	regions	9	8864520936
serial	strings/strings.jl	1	vanilla	9	18473454658
serial	strings/strings.jl	1	regions	9	18504873594
serial	bigint/pollard.jl	1	vanilla	9	648111551
serial	bigint/pollard.jl	1	regions	9	660047945
serial	big_arrays/single_ref.jl	1	vanilla	9	402552295
serial	big_arrays/single_ref.jl	1	regions	9	406784060
serial	big_arrays/many_refs.jl	1	vanilla	9	1976514557
serial	big_arrays/many_refs.jl	1	regions	9	1820604090
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	9	1601509135
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	9	1609314844
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	9	799119007
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	9	784657537
multithreaded	big_arrays/issue-52937.jl	4	vanilla	9	9706203280
multithreaded	big_arrays/issue-52937.jl	4	regions	9	9817476335
serial	append/append.jl	1	vanilla	10	1614922618
serial	append/append.jl	1	regions	10	1623731501
serial	linked/tree.jl	1	vanilla	10	8887159205
serial	linked/tree.jl	1	regions	10	9071390624
serial	strings/strings.jl	1	vanilla	10	18699395976
serial	strings/strings.jl	1	regions	10	18570833945
serial	bigint/pollard.jl	1	vanilla	10	657994451
serial	bigint/pollard.jl	1	regions	10	669550297
serial	big_arrays/single_ref.jl	1	vanilla	10	427461140
serial	big_arrays/single_ref.jl	1	regions	10	412959504
serial	big_arrays/many_refs.jl	1	vanilla	10	1981753285
serial	big_arrays/many_refs.jl	1	regions	10	1809179122
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	10	1615151528
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	10	1629422759
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	10	772718789
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	10	791569760
multithreaded	big_arrays/issue-52937.jl	4	vanilla	10	9680993683
multithreaded	big_arrays/issue-52937.jl	4	regions	10	9869308369
